Модель,Серия,Год,Объем двигателя (л),Топливо,Привод,Мощность (л.с.),Пробег (км),КПП,Цена (₽),Ссылка
"BMW X5 4.4 AT, 2013, 165 000 км",X5,2013,4.4,бензин,полный,450,165000,,2600000,https://www.avito.ru/noginsk/avtomobili/bmw_x5_4.4_at_2013_165_000_km_7252278491?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImVzTWpiaFRiQ2IyTml4cEYiO3347hXfJgAAAA
"BMW 5 серия 2.0 AT, 2016, 250 000 км",5-Series,2016,2.0,дизель,задний,190,250000,,1750000,https://www.avito.ru/krasnodar/avtomobili/bmw_5_seriya_2.0_at_2016_250_000_km_4530200603?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImVzTWpiaFRiQ2IyTml4cEYiO3347hXfJgAAAA
"BMW 5 серия 2.0 AT, 2018, 241 000 км",5-Series,2018,2.0,гибрид,задний,252,241000,,800000,https://www.avito.ru/moskva/avtomobili/bmw_5_seriya_2.0_at_2018_241_000_km_4496870093?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImVzTWpiaFRiQ2IyTml4cEYiO3347hXfJgAAAA
"BMW 3 серия 2.0 AT, 2015, 278 000 км",3-Series,2015,2.0,дизель,полный,184,278000,,1550000,https://www.avito.ru/moskovskaya_oblast_moskovskiy/avtomobili/bmw_3_seriya_2.0_at_2015_278_000_km_4788245134?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImVzTWpiaFRiQ2IyTml4cEYiO3347hXfJgAAAA
"BMW 5 серия 2.0 AT, 2010, 218 000 км",5-Series,2010,2.0,дизель,задний,184,218000,,1625000,https://www.avito.ru/moskva/avtomobili/bmw_5_seriya_2.0_at_2010_218_000_km_4940093058?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImVzTWpiaFRiQ2IyTml4cEYiO3347hXfJgAAAA
"BMW 3 серия 1.6 AT, 2014, 148 000 км",3-Series,2014,1.6,бензин,задний,136,148000,,1550000,https://www.avito.ru/moskva/avtomobili/bmw_3_seriya_1.6_at_2014_148_000_km_7239578018?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImVzTWpiaFRiQ2IyTml4cEYiO3347hXfJgAAAA
"BMW 5 серия 2.0 AT, 2016, 89 012 км",5-Series,2016,2.0,дизель,задний,190,89012,,2775000,https://www.avito.ru/kazan/avtomobili/bmw_5_seriya_2.0_at_2016_89_012_km_4493350793?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InJ6VXh5RlhLa2VpaVdPVHYiO31BnpmVJgAAAA
"BMW X7 3.0 AT, 2021, 33 000 км",X7,2021,3.0,дизель,полный,249,33000,,11500000,https://www.avito.ru/sochi/avtomobili/bmw_x7_3.0_at_2021_33_000_km_7238421875?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InJ6VXh5RlhLa2VpaVdPVHYiO31BnpmVJgAAAA
"BMW 3 серия GT 2.0 AT, 2018, 114 000 км",3-Series,2018,2.0,дизель,задний,150,114000,,2100000,https://www.avito.ru/minsk/avtomobili/bmw_3_seriya_gt_2.0_at_2018_114_000_km_7233460701?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InJ6VXh5RlhLa2VpaVdPVHYiO31BnpmVJgAAAA
"BMW X6 3.0 AT, 2013, 124 500 км",X6,2013,3.0,дизель,полный,245,124500,,2935000,https://www.avito.ru/petrozavodsk/avtomobili/bmw_x6_3.0_at_2013_124_500_km_4384860604?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InJ6VXh5RlhLa2VpaVdPVHYiO31BnpmVJgAAAA
