Модель,Серия,Год,Объем двигателя (л),Топливо,Привод,Мощность (л.с.),Пробег (км),КПП,Цена (₽),Ссылка
"BMW 6 серия GT 2.0 AT, 2020, 121 000 км",6-Series,2020,2.0,дизель,задний,190,121000,,3590000,https://www.avito.ru/krasnodar/avtomobili/bmw_6_seriya_gt_2.0_at_2020_121_000_km_4584762210?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImtnYVpZdlB1WkR5R3RzcWgiO31Gn7DmJgAAAA
"BMW X6 3.0 AT, 2017, 210 000 км",X6,2017,3.0,дизель,полный,249,210000,,3870000,https://www.avito.ru/sankt-peterburg/avtomobili/bmw_x6_3.0_at_2017_210_000_km_4870242021?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImtnYVpZdlB1WkR5R3RzcWgiO31Gn7DmJgAAAA
"BMW X3 2.0 AT, 2021, 24 000 км",X3,2021,2.0,бензин,полный,249,24000,,5800000,https://www.avito.ru/moskva/avtomobili/bmw_x3_2.0_at_2021_24_000_km_7201123397?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImtnYVpZdlB1WkR5R3RzcWgiO31Gn7DmJgAAAA
"BMW X3 M 3.0 AT, 2019, 52 000 км",X3,2019,3.0,бензин,полный,510,52000,,7250000,https://www.avito.ru/krasnodar/avtomobili/bmw_x3_m_3.0_at_2019_52_000_km_4464202410?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImtnYVpZdlB1WkR5R3RzcWgiO31Gn7DmJgAAAA
"BMW X4 2.0 AT, 2024, 5 км",X4,2024,2.0,бензин,полный,249,5,,7700000,https://www.avito.ru/moskva/avtomobili/bmw_x4_2.0_at_2024_5_km_7224602204?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImtnYVpZdlB1WkR5R3RzcWgiO31Gn7DmJgAAAA
"BMW X6 4.4 AT, 2019, 54 500 км",X6,2019,4.4,бензин,полный,530,54500,,8300000,https://www.avito.ru/moskva/avtomobili/bmw_x6_4.4_at_2019_54_500_km_4566472142?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImtnYVpZdlB1WkR5R3RzcWgiO31Gn7DmJgAAAA
"BMW X7 3.0 AT, 2023, 28 500 км",X7,2023,3.0,бензин,полный,380,28500,,13299990,https://www.avito.ru/ufa/avtomobili/bmw_x7_3.0_at_2023_28_500_km_7199656828?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImtnYVpZdlB1WkR5R3RzcWgiO31Gn7DmJgAAAA
"BMW X7 3.0 AT, 2019, 128 000 км",X7,2019,3.0,бензин,полный,340,128000,,5999000,https://www.avito.ru/ufa/avtomobili/bmw_x7_3.0_at_2019_128_000_km_4787360421?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImtnYVpZdlB1WkR5R3RzcWgiO31Gn7DmJgAAAA
"BMW X6 3.0 AT, 2020, 64 000 км",X6,2020,3.0,бензин,полный,340,64000,,8300000,https://www.avito.ru/chelyabinsk/avtomobili/bmw_x6_3.0_at_2020_64_000_km_4190952015?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImtnYVpZdlB1WkR5R3RzcWgiO31Gn7DmJgAAAA
"BMW X4 2.0 AT, 2020, 69 500 км",X4,2020,2.0,дизель,полный,190,69500,,5140000,https://www.avito.ru/ekaterinburg/avtomobili/bmw_x4_2.0_at_2020_69_500_km_4455519421?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImtnYVpZdlB1WkR5R3RzcWgiO31Gn7DmJgAAAA
"BMW 6 серия 3.0 AT, 2011, 103 180 км",6-Series,2011,3.0,бензин,задний,320,103180,,3500000,https://www.avito.ru/sankt-peterburg/avtomobili/bmw_6_seriya_3.0_at_2011_103_180_km_4610966881?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImtnYVpZdlB1WkR5R3RzcWgiO31Gn7DmJgAAAA
"BMW X3 2.0 AT, 2019, 102 000 км",X3,2019,2.0,бензин,полный,249,102000,,3470000,https://www.avito.ru/moskva/avtomobili/bmw_x3_2.0_at_2019_102_000_km_4793501813?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImtnYVpZdlB1WkR5R3RzcWgiO31Gn7DmJgAAAA
"BMW X1 2.0 AT, 2021, 71 000 км",X1,2021,2.0,дизель,полный,150,71000,,3250000,https://www.avito.ru/moskva/avtomobili/bmw_x1_2.0_at_2021_71_000_km_5057804319?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImtnYVpZdlB1WkR5R3RzcWgiO31Gn7DmJgAAAA
"BMW X6 3.0 AT, 2019, 106 177 км",X6,2019,3.0,дизель,полный,265,106177,,7700000,https://www.avito.ru/mosrentgen/avtomobili/bmw_x6_3.0_at_2019_106_177_km_7211143818?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImtnYVpZdlB1WkR5R3RzcWgiO31Gn7DmJgAAAA
"BMW 7 серия 3.0 AT, 2016, 222 500 км",7-Series,2016,3.0,дизель,полный,265,222500,,4380000,https://www.avito.ru/ramenskoe/avtomobili/bmw_7_seriya_3.0_at_2016_222_500_km_4423879641?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImtnYVpZdlB1WkR5R3RzcWgiO31Gn7DmJgAAAA
"BMW X3 2.0 AT, 2024, 126 км",X3,2024,2.0,бензин,полный,245,126,,6700000,https://www.avito.ru/moskva/avtomobili/bmw_x3_2.0_at_2024_126_km_7210447605?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImtnYVpZdlB1WkR5R3RzcWgiO31Gn7DmJgAAAA
"BMW 5 серия 2.0 AT, 2019, 64 500 км",5-Series,2019,2.0,бензин,задний,252,64500,,3800000,https://www.avito.ru/sankt-peterburg/avtomobili/bmw_5_seriya_2.0_at_2019_64_500_km_4785947907?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImtnYVpZdlB1WkR5R3RzcWgiO31Gn7DmJgAAAA
"BMW X2 2.0 AMT, 2024, 1 км",X2,2024,2.0,бензин,полный,204,1,,5790000,https://www.avito.ru/moskva/avtomobili/bmw_x2_2.0_amt_2024_1_km_4771909144?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImtnYVpZdlB1WkR5R3RzcWgiO31Gn7DmJgAAAA
"BMW 5 серия 2.0 AT, 2020, 72 000 км",5-Series,2020,2.0,дизель,полный,190,72000,,4900000,https://www.avito.ru/nizhniy_novgorod/avtomobili/bmw_5_seriya_2.0_at_2020_72_000_km_3747698627?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImtnYVpZdlB1WkR5R3RzcWgiO31Gn7DmJgAAAA
"BMW X2 2.0 AMT, 2024, 50 км",X2,2024,2.0,бензин,полный,204,50,,5690000,https://www.avito.ru/moskva/avtomobili/bmw_x2_2.0_amt_2024_50_km_4550766945?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImtnYVpZdlB1WkR5R3RzcWgiO31Gn7DmJgAAAA
"BMW X6 3.0 AT, 2014, 77 000 км",X6,2014,3.0,дизель,полный,249,77000,,3700000,https://www.avito.ru/tyumen/avtomobili/bmw_x6_3.0_at_2014_77_000_km_4223223577?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImtnYVpZdlB1WkR5R3RzcWgiO31Gn7DmJgAAAA
"BMW X1 2.0 AT, 2021, 72 000 км",X1,2021,2.0,бензин,полный,192,72000,,3350000,https://www.avito.ru/nizhniy_novgorod/avtomobili/bmw_x1_2.0_at_2021_72_000_km_4614723879?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImtnYVpZdlB1WkR5R3RzcWgiO31Gn7DmJgAAAA
"BMW 6 серия GT 3.0 AT, 2019, 59 150 км",6-Series,2019,3.0,дизель,полный,249,59150,,5950000,https://www.avito.ru/orenburg/avtomobili/bmw_6_seriya_gt_3.0_at_2019_59_150_km_7221692280?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImtnYVpZdlB1WkR5R3RzcWgiO31Gn7DmJgAAAA
"BMW X6 3.0 AT, 2016, 109 500 км",X6,2016,3.0,дизель,полный,381,109500,,4299000,https://www.avito.ru/moskva/avtomobili/bmw_x6_3.0_at_2016_109_500_km_4588771101?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImtnYVpZdlB1WkR5R3RzcWgiO31Gn7DmJgAAAA
"BMW X6 3.0 AT, 2016, 206 500 км",X6,2016,3.0,дизель,полный,381,206500,,3290000,https://www.avito.ru/sankt-peterburg/avtomobili/bmw_x6_3.0_at_2016_206_500_km_4907531043?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImtnYVpZdlB1WkR5R3RzcWgiO31Gn7DmJgAAAA
"BMW X4 2.0 AT, 2019, 79 000 км",X4,2019,2.0,дизель,полный,190,79000,,4170000,https://www.avito.ru/moskva/avtomobili/bmw_x4_2.0_at_2019_79_000_km_7213984862?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImtnYVpZdlB1WkR5R3RzcWgiO31Gn7DmJgAAAA
"BMW X3 2.0 AT, 2019, 87 000 км",X3,2019,2.0,дизель,полный,190,87000,,4170000,https://www.avito.ru/volgograd/avtomobili/bmw_x3_2.0_at_2019_87_000_km_7236027467?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImtnYVpZdlB1WkR5R3RzcWgiO31Gn7DmJgAAAA
"BMW X1 2.0 AMT, 2024, 34 км",X1,2024,2.0,бензин,полный,204,34,,5299000,https://www.avito.ru/moskva/avtomobili/bmw_x1_2.0_amt_2024_34_km_7203334498?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImtnYVpZdlB1WkR5R3RzcWgiO31Gn7DmJgAAAA
"BMW X6 3.0 AT, 2016, 195 000 км",X6,2016,3.0,дизель,полный,249,195000,,3690000,https://www.avito.ru/belgorod/avtomobili/bmw_x6_3.0_at_2016_195_000_km_4795171852?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImtnYVpZdlB1WkR5R3RzcWgiO31Gn7DmJgAAAA
"BMW X3 2.0 AT, 2019, 132 000 км",X3,2019,2.0,бензин,задний,252,132000,,3380000,https://www.avito.ru/sankt-peterburg/avtomobili/bmw_x3_2.0_at_2019_132_000_km_4129154071?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImtnYVpZdlB1WkR5R3RzcWgiO31Gn7DmJgAAAA
"BMW X3 2.0 AT, 2022, 29 000 км",X3,2022,2.0,бензин,полный,184,29000,,5800000,https://www.avito.ru/moskva/avtomobili/bmw_x3_2.0_at_2022_29_000_km_4502435868?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImtnYVpZdlB1WkR5R3RzcWgiO31Gn7DmJgAAAA
"BMW X3 2.0 AT, 2019, 93 297 км",X3,2019,2.0,дизель,полный,190,93297,,4000000,https://www.avito.ru/nizhniy_novgorod/avtomobili/bmw_x3_2.0_at_2019_93_297_km_5036078583?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImtnYVpZdlB1WkR5R3RzcWgiO31Gn7DmJgAAAA
"BMW X7 3.0 AT, 2020, 58 000 км",X7,2020,3.0,дизель,полный,249,58000,,9750000,https://www.avito.ru/moskva/avtomobili/bmw_x7_3.0_at_2020_58_000_km_7216906477?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImtnYVpZdlB1WkR5R3RzcWgiO31Gn7DmJgAAAA
"BMW 5 серия 3.0 AT, 2020, 99 700 км",5-Series,2020,3.0,дизель,полный,249,99700,,5650000,https://www.avito.ru/korolev/avtomobili/bmw_5_seriya_3.0_at_2020_99_700_km_4025264878?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImtnYVpZdlB1WkR5R3RzcWgiO31Gn7DmJgAAAA
"BMW X6 M 4.4 AT, 2012, 146 000 км",X6,2012,4.4,бензин,полный,555,146000,,3190000,https://www.avito.ru/moskva/avtomobili/bmw_x6_m_4.4_at_2012_146_000_km_4805948465?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImtnYVpZdlB1WkR5R3RzcWgiO31Gn7DmJgAAAA
"BMW X5 3.0 AT, 2017, 145 000 км",X5,2017,3.0,дизель,полный,218,145000,,3850000,https://www.avito.ru/nizhniy_novgorod/avtomobili/bmw_x5_3.0_at_2017_145_000_km_7208181602?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImtnYVpZdlB1WkR5R3RzcWgiO31Gn7DmJgAAAA
"BMW 5 серия 3.0 AT, 2020, 135 000 км",5-Series,2020,3.0,дизель,полный,340,135000,,5700000,https://www.avito.ru/kolomna/avtomobili/bmw_5_seriya_3.0_at_2020_135_000_km_7260215457?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImtnYVpZdlB1WkR5R3RzcWgiO31Gn7DmJgAAAA
"BMW X6 M 4.4 AT, 2020, 15 600 км",X6,2020,4.4,бензин,полный,625,15600,,13890000,https://www.avito.ru/moskva/avtomobili/bmw_x6_m_4.4_at_2020_15_600_km_4455542489?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImtnYVpZdlB1WkR5R3RzcWgiO31Gn7DmJgAAAA
"BMW X6 3.0 AT, 2017, 110 000 км",X6,2017,3.0,бензин,полный,306,110000,,4650000,https://www.avito.ru/lugansk/avtomobili/bmw_x6_3.0_at_2017_110_000_km_7249041414?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImtnYVpZdlB1WkR5R3RzcWgiO31Gn7DmJgAAAA
"BMW M8 4.4 AT, 2019, 20 000 км",M8,2019,4.4,бензин,полный,600,20000,,11000000,https://www.avito.ru/himki/avtomobili/bmw_m8_4.4_at_2019_20_000_km_7251467543?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImtnYVpZdlB1WkR5R3RzcWgiO31Gn7DmJgAAAA
"BMW 5 серия 2.0 AT, 2016, 186 000 км",5-Series,2016,2.0,дизель,задний,190,186000,,2250000,https://www.avito.ru/moskva/avtomobili/bmw_5_seriya_2.0_at_2016_186_000_km_7240232746?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImtnYVpZdlB1WkR5R3RzcWgiO31Gn7DmJgAAAA
"BMW X1 2.0 AMT, 2024, 20 км",X1,2024,2.0,бензин,полный,204,20,,4990000,https://www.avito.ru/vidnoe/avtomobili/bmw_x1_2.0_amt_2024_20_km_4686961828?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImtnYVpZdlB1WkR5R3RzcWgiO31Gn7DmJgAAAA
"BMW X7 3.0 AT, 2021, 93 000 км",X7,2021,3.0,дизель,полный,249,93000,,8900000,https://www.avito.ru/moskva/avtomobili/bmw_x7_3.0_at_2021_93_000_km_4542695562?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImtnYVpZdlB1WkR5R3RzcWgiO31Gn7DmJgAAAA
"BMW X3 3.0 AT, 2020, 58 073 км",X3,2020,3.0,дизель,полный,265,58073,,5350000,https://www.avito.ru/voronezh/avtomobili/bmw_x3_3.0_at_2020_58_073_km_4616525920?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImtnYVpZdlB1WkR5R3RzcWgiO31Gn7DmJgAAAA
"BMW X3 2.0 AT, 2024, 11 км",X3,2024,2.0,бензин,полный,184,11,,5750000,https://www.avito.ru/moskva/avtomobili/bmw_x3_2.0_at_2024_11_km_4707723417?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImtnYVpZdlB1WkR5R3RzcWgiO31Gn7DmJgAAAA
"BMW X3 2.0 AT, 2024, 35 км",X3,2024,2.0,бензин,полный,184,35,,5999999,https://www.avito.ru/kazan/avtomobili/bmw_x3_2.0_at_2024_35_km_4751599587?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImtnYVpZdlB1WkR5R3RzcWgiO31Gn7DmJgAAAA
"BMW X6 M 4.4 AT, 2020, 34 000 км",X6,2020,4.4,бензин,полный,600,34000,,12690000,https://www.avito.ru/moskva/avtomobili/bmw_x6_m_4.4_at_2020_34_000_km_7242280182?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImtnYVpZdlB1WkR5R3RzcWgiO31Gn7DmJgAAAA
"BMW X6 3.0 AT, 2013, 167 797 км",X6,2013,3.0,бензин,полный,306,167797,,2144000,https://www.avito.ru/rostov-na-donu/avtomobili/bmw_x6_3.0_at_2013_167_797_km_3871867666?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImtnYVpZdlB1WkR5R3RzcWgiO31Gn7DmJgAAAA
"BMW 3 серия 2.0 AT, 2018, 63 500 км",3-Series,2018,2.0,бензин,полный,184,63500,,2990000,https://www.avito.ru/novosibirsk/avtomobili/bmw_3_seriya_2.0_at_2018_63_500_km_7200929072?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImtnYVpZdlB1WkR5R3RzcWgiO31Gn7DmJgAAAA
"BMW X3 2.0 AT, 2016, 151 000 км",X3,2016,2.0,бензин,полный,245,151000,,2385000,https://www.avito.ru/sankt-peterburg/avtomobili/bmw_x3_2.0_at_2016_151_000_km_4819831713?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImtnYVpZdlB1WkR5R3RzcWgiO31Gn7DmJgAAAA
"BMW X4 2.0 AT, 2020, 91 215 км",X4,2020,2.0,дизель,полный,190,91215,,4450000,https://www.avito.ru/saratov/avtomobili/bmw_x4_2.0_at_2020_91_215_km_4614684091?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImF5WnFVSENSTGFseTFHbjEiO30-uiFpJgAAAA
"BMW 3 серия 2.0 AT, 2019, 35 700 км",3-Series,2019,2.0,дизель,полный,190,35700,,4450000,https://www.avito.ru/sankt-peterburg/avtomobili/bmw_3_seriya_2.0_at_2019_35_700_km_4625342519?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImF5WnFVSENSTGFseTFHbjEiO30-uiFpJgAAAA
"BMW X3 2.0 AT, 2019, 102 000 км",X3,2019,2.0,бензин,полный,249,102000,,3470000,https://www.avito.ru/moskva/avtomobili/bmw_x3_2.0_at_2019_102_000_km_4793501813?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImF5WnFVSENSTGFseTFHbjEiO30-uiFpJgAAAA
"BMW X7 3.0 AT, 2020, 140 000 км",X7,2020,3.0,дизель,полный,400,140000,,8400000,https://www.avito.ru/moskovskaya_oblast_krasnogorsk/avtomobili/bmw_x7_3.0_at_2020_140_000_km_7244408197?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImF5WnFVSENSTGFseTFHbjEiO30-uiFpJgAAAA
"BMW X1 2.0 AT, 2012, 120 000 км",X1,2012,2.0,дизель,полный,177,120000,,1600000,https://www.avito.ru/moskva/avtomobili/bmw_x1_2.0_at_2012_120_000_km_4524731150?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImF5WnFVSENSTGFseTFHbjEiO30-uiFpJgAAAA
"BMW X3 2.0 AT, 2024, 32 км",X3,2024,2.0,бензин,полный,245,32,,6500000,https://www.avito.ru/moskva/avtomobili/bmw_x3_2.0_at_2024_32_km_7247047653?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImF5WnFVSENSTGFseTFHbjEiO30-uiFpJgAAAA
"BMW X6 3.0 AT, 2019, 129 532 км",X6,2019,3.0,дизель,полный,313,129532,,4830000,https://www.avito.ru/moskva/avtomobili/bmw_x6_3.0_at_2019_129_532_km_4784046584?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImF5WnFVSENSTGFseTFHbjEiO30-uiFpJgAAAA
"BMW X4 2.0 AT, 2016, 172 000 км",X4,2016,2.0,бензин,полный,184,172000,,2180000,https://www.avito.ru/domodedovo/avtomobili/bmw_x4_2.0_at_2016_172_000_km_4699342095?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImF5WnFVSENSTGFseTFHbjEiO30-uiFpJgAAAA
"BMW X5 3.0 AT, 2023, 20 000 км",X5,2023,3.0,дизель,полный,298,20000,,12500000,https://www.avito.ru/moskva/avtomobili/bmw_x5_3.0_at_2023_20_000_km_4270195679?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImF5WnFVSENSTGFseTFHbjEiO30-uiFpJgAAAA
"BMW 5 серия 2.0 AT, 2015, 150 000 км",5-Series,2015,2.0,бензин,задний,184,150000,,2690000,https://www.avito.ru/perm/avtomobili/bmw_5_seriya_2.0_at_2015_150_000_km_7206623711?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImF5WnFVSENSTGFseTFHbjEiO30-uiFpJgAAAA
"BMW 5 серия 3.0 AT, 2012, 182 000 км",5-Series,2012,3.0,дизель,полный,258,182000,,2165000,https://www.avito.ru/krasnodar/avtomobili/bmw_5_seriya_3.0_at_2012_182_000_km_4654981828?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImF5WnFVSENSTGFseTFHbjEiO30-uiFpJgAAAA
"BMW 5 серия 2.0 AT, 2019, 105 131 км",5-Series,2019,2.0,бензин,полный,249,105131,,3795000,https://www.avito.ru/moskva/avtomobili/bmw_5_seriya_2.0_at_2019_105_131_km_4788307901?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImF5WnFVSENSTGFseTFHbjEiO30-uiFpJgAAAA
"BMW X3 3.0 AT, 2021, 22 328 км",X3,2021,3.0,бензин,полный,387,22328,,8600000,https://www.avito.ru/moskva/avtomobili/bmw_x3_3.0_at_2021_22_328_km_4654840359?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImF5WnFVSENSTGFseTFHbjEiO30-uiFpJgAAAA
"BMW X7 3.0 AT, 2019, 46 300 км",X7,2019,3.0,бензин,полный,340,46300,,8250000,https://www.avito.ru/kaliningrad/avtomobili/bmw_x7_3.0_at_2019_46_300_km_7229489507?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImF5WnFVSENSTGFseTFHbjEiO30-uiFpJgAAAA
"BMW X3 2.0 AT, 2024, 126 км",X3,2024,2.0,бензин,полный,245,126,,6700000,https://www.avito.ru/moskva/avtomobili/bmw_x3_2.0_at_2024_126_km_7210447605?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImF5WnFVSENSTGFseTFHbjEiO30-uiFpJgAAAA
"BMW 5 серия 3.0 AT, 2011, 181 483 км",5-Series,2011,3.0,дизель,полный,258,181483,,1899000,https://www.avito.ru/izhevsk/avtomobili/bmw_5_seriya_3.0_at_2011_181_483_km_4638271200?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImF5WnFVSENSTGFseTFHbjEiO30-uiFpJgAAAA
"BMW X5 3.0 AT, 2017, 329 000 км",X5,2017,3.0,дизель,полный,249,329000,,3290000,https://www.avito.ru/ekaterinburg/avtomobili/bmw_x5_3.0_at_2017_329_000_km_4635254250?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImF5WnFVSENSTGFseTFHbjEiO30-uiFpJgAAAA
"BMW X3 2.0 AT, 2019, 132 000 км",X3,2019,2.0,бензин,задний,252,132000,,3380000,https://www.avito.ru/sankt-peterburg/avtomobili/bmw_x3_2.0_at_2019_132_000_km_4129154071?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImF5WnFVSENSTGFseTFHbjEiO30-uiFpJgAAAA
"BMW 3 серия GT 2.0 AT, 2017, 116 533 км",3-Series,2017,2.0,дизель,полный,190,116533,,2650000,https://www.avito.ru/moskva/avtomobili/bmw_3_seriya_gt_2.0_at_2017_116_533_km_7216332351?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImF5WnFVSENSTGFseTFHbjEiO30-uiFpJgAAAA
"BMW X5 3.0 AT, 2017, 184 400 км",X5,2017,3.0,дизель,полный,313,184400,,4080000,https://www.avito.ru/moskva/avtomobili/bmw_x5_3.0_at_2017_184_400_km_4511176139?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImF5WnFVSENSTGFseTFHbjEiO30-uiFpJgAAAA
"BMW X7 3.0 AT, 2023, 8 600 км",X7,2023,3.0,бензин,полный,380,8600,,14749000,https://www.avito.ru/moskva/avtomobili/bmw_x7_3.0_at_2023_8_600_km_4565624440?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImF5WnFVSENSTGFseTFHbjEiO30-uiFpJgAAAA
"BMW X3 2.0 AT, 2016, 151 000 км",X3,2016,2.0,бензин,полный,245,151000,,2385000,https://www.avito.ru/sankt-peterburg/avtomobili/bmw_x3_2.0_at_2016_151_000_km_4819831713?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImF5WnFVSENSTGFseTFHbjEiO30-uiFpJgAAAA
"BMW 3 серия 2.0 AT, 2019, 133 000 км",3-Series,2019,2.0,дизель,полный,190,133000,,3750000,https://www.avito.ru/moskva/avtomobili/bmw_3_seriya_2.0_at_2019_133_000_km_7230068875?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImF5WnFVSENSTGFseTFHbjEiO30-uiFpJgAAAA
"BMW X3 2.0 AT, 2016, 110 000 км",X3,2016,2.0,бензин,полный,245,110000,,2320000,https://www.avito.ru/moskovskaya_oblast_chehov/avtomobili/bmw_x3_2.0_at_2016_110_000_km_4329316568?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImF5WnFVSENSTGFseTFHbjEiO30-uiFpJgAAAA
"BMW X3 2.0 AT, 2019, 87 000 км",X3,2019,2.0,дизель,полный,190,87000,,4170000,https://www.avito.ru/volgograd/avtomobili/bmw_x3_2.0_at_2019_87_000_km_7236027467?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImF5WnFVSENSTGFseTFHbjEiO30-uiFpJgAAAA
"BMW X6 3.0 AT, 2020, 92 500 км",X6,2020,3.0,дизель,полный,400,92500,,7350000,https://www.avito.ru/moskva/avtomobili/bmw_x6_3.0_at_2020_92_500_km_4633202530?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImF5WnFVSENSTGFseTFHbjEiO30-uiFpJgAAAA
